aX,aY,aZ,gX,gY,gZ
0.357,-0.979,1.265,-57.739,-20.264,-17.09
0.38,-1,1.317,-63.965,-25.269,-13.062
0.416,-1.014,1.403,-70.251,-30.823,-11.536
0.456,-1.045,1.502,-82.52,-30.579,-10.986
0.487,-1.103,1.571,-99.792,-25.696,-7.629
0.507,-1.176,1.617,-107.422,-22.644,0.427
0.52,-1.25,1.7,-107.117,-25.94,13.672
0.527,-1.306,1.855,-101.624,-29.663,33.752
0.51,-1.304,2.044,-100.769,-23.865,58.899
0.485,-1.205,2.207,-106.567,-7.751,81.238
0.487,-1.021,2.303,-118.286,9.338,88.684
0.53,-0.832,2.328,-130.493,22.949,74.707
0.621,-0.757,2.295,-146.667,31.799,43.152
0.739,-0.893,2.222,-167.297,35.828,10.315
0.844,-1.182,2.135,-179.687,35.767,-1.099
0.925,-1.44,2.053,-183.96,31.616,17.639
0.988,-1.521,2.005,-185.791,21.79,52.124
1.049,-1.42,2.003,-182.922,10.925,78.369
1.104,-1.274,1.989,-195.435,5.981,84.229
1.123,-1.213,1.907,-221.985,2.075,79.529
1.109,-1.231,1.771,-247.864,-14.709,79.468
1.082,-1.256,1.673,-274.719,-44.006,88.257
1.042,-1.234,1.689,-294.006,-75.745,107.727
0.996,-1.151,1.825,-306.641,-96.069,133.362
0.946,-1.029,2.003,-316.162,-94.421,161.865
0.862,-0.892,2.131,-318.176,-76.599,192.932
0.751,-0.737,2.193,-313.049,-50.842,230.042
0.629,-0.499,2.206,-292.786,-17.151,275.696
0.516,-0.108,2.149,-257.324,23.56,320.068
0.43,0.398,1.979,-226.196,68.604,347.351
0.364,0.903,1.676,-195.557,106.201,342.59
0.312,1.283,1.272,-187.073,123.657,305.115
0.246,1.477,0.856,-191.833,113.892,249.207
0.179,1.503,0.518,-206.238,78.674,190.125
0.133,1.426,0.318,-239.258,27.405,141.113
0.135,1.302,0.278,-286.377,-23.01,104.187
0.168,1.099,0.363,-347.595,-55.298,75.317
0.157,0.81,0.505,-389.709,-59.937,63.66
0.109,0.575,0.605,-393.433,-41.016,82.825
0.058,0.554,0.616,-369.507,-3.967,130.188
0.019,0.774,0.52,-333.801,57.556,181.702
0.022,1.149,0.261,-295.532,140.32,223.877
0.064,1.577,-0.186,-259.094,238.22,258.667
0.11,2.032,-0.784,-197.083,343.201,289.429
0.22,2.513,-1.469,-104.126,432.556,304.749
0.418,2.859,-2.045,47.119,481.506,276.062
0.659,2.816,-2.9,331.299,488.464,178.589
0.801,2.401,-3.765,220.398,450.989,32.104
0.75,1.834,-3.999,119.629,290.71,-84.229
0.617,1.264,-3.982,5.066,17.517,-153.137
0.525,0.844,-3.431,-113.403,-257.996,-177.246
0.509,0.649,-2.291,-63.843,-445.679,-180.237
0.512,0.524,-0.949,-34.119,-540.833,-188.721
0.425,0.343,0.279,109.68,-534.546,-185.242
0.204,0.086,1.368,67.078,-393.738,-166.382
-0.047,-0.196,1.998,151.794,-134.338,-121.887
-0.168,-0.341,1.524,220.337,112.244,-51.819
-0.165,-0.26,0.418,259.46,228.638,11.841
-0.161,-0.027,-0.531,272.217,221.436,53.406
-0.166,0.259,-1.036,293.335,147.4,73.853
-0.131,0.572,-1.185,306.274,53.711,68.787
-0.074,0.862,-1.052,296.204,-31.799,37.17
-0.017,1.035,-0.724,273.56,-94.238,-11.78
0.019,1.033,-0.327,253.113,-128.54,-60.852
0.029,0.9,0.026,260.254,-137.634,-95.886
0.008,0.714,0.281,273.743,-133.728,-114.685
-0.047,0.534,0.493,280.701,-127.502,-118.591
-0.079,0.406,0.715,296.387,-120.3,-115.112
-0.059,0.321,0.917,313.904,-106.14,-113.892
-0.003,0.212,1.041,325.134,-81.604,-118.408
0.053,0.038,1.032,329.468,-57.861,-120.972
0.079,-0.152,0.937,323.853,-51.941,-113.281
0.098,-0.282,0.881,311.89,-61.89,-95.276
0.129,-0.323,0.926,291.748,-72.205,-74.219
0.104,-0.261,1.038,265.991,-70.74,-52.856
0.066,-0.052,1.127,278.015,-59.998,-31.494
0.115,0.3,1.052,299.927,-57.129,-34.912
0.231,0.61,0.923,256.653,-78.003,-79.163
0.373,0.691,0.952,229.797,-124.573,-147.583
0.548,0.471,1.247,191.406,-181.396,-218.018
0.742,-0.029,1.795,141.602,-218.567,-274.353
0.867,-0.657,2.407,93.689,-198.059,-293.213
0.877,-1.175,2.85,92.529,-111.084,-251.892
0.837,-1.297,2.86,142.029,-2.625,-164.368
0.863,-0.926,2.464,187.744,54.26,-97.046
0.992,-0.427,2.064,195.129,32.41,-108.521
1.147,-0.358,2.005,163.696,-21.423,-183.899
1.213,-0.92,2.296,115.662,-44.556,-244.019
1.129,-1.723,2.644,98.145,-7.935,-215.637
0.942,-2.178,2.706,126.16,64.209,-98.694
0.785,-2.044,2.407,152.222,122.559,43.518
0.669,-1.477,1.964,164.978,131.348,136.169
0.526,-0.847,1.652,164.734,91.553,160.034
0.344,-0.393,1.591,152.71,30.823,135.132
0.178,-0.147,1.755,151.733,-19.104,81.543
0.094,-0.098,2.002,152.954,-37.659,11.902
0.088,-0.252,2.167,135.376,-24.902,-59.875
0.116,-0.588,2.162,101.563,7.507,-113.708
0.161,-0.983,1.982,75.317,40.771,-139.038
0.241,-1.308,1.722,56.824,56.03,-143.005
0.337,-1.547,1.502,37.964,53.65,-134.521
0.396,-1.737,1.353,17.578,48.279,-114.746
0.395,-1.871,1.226,-5.493,47.546,-83.435
0.347,-1.906,1.101,-27.71,42.542,-44.739
0.281,-1.814,1.011,-37.842,26.611,-8.24
0.217,-1.633,0.994,-44.128,3.967,17.578
0.157,-1.438,1.057,-58.594,-13.733,34.18
0.103,-1.267,1.15,-76.599,-18.616,48.95
0.052,-1.104,1.196,-95.032,-10.193,67.444
0.003,-0.914,1.163,-104.614,4.395,89.355
-0.042,-0.672,1.083,-96.252,13.611,108.337
-0.076,-0.388,1.014,-67.871,12.878,116.15
-0.078,-0.11,0.984,-35.095,10.193,105.408
-0.053,0.098,0.972,-10.925,13.306,75.745
-0.006,0.186,0.941,4.822,19.958,34.18
0.06,0.124,0.88,16.968,22.339,-10.254
0.122,-0.08,0.836,31.128,15.869,-44.373
0.184,-0.348,0.847,48.34,5.981,-56.458
0.237,-0.579,0.893,56.519,0.366,-47.546
0.268,-0.719,0.938,54.199,1.16,-23.804
0.381,-1.43,1.299,-49.805,-52.124,-49.683
0.455,-1.564,1.424,-64.026,-59.692,-39.551
0.54,-1.609,1.538,-76.538,-65.002,-21.606
0.641,-1.552,1.63,-90.149,-69.702,-5.127
0.752,-1.448,1.703,-100.647,-78.735,-0.916
0.862,-1.384,1.799,-116.394,-97.229,-8.484
0.966,-1.399,1.956,-122.253,-120.544,-15.747
1.074,-1.474,2.157,-131.165,-136.902,-13.184
1.17,-1.561,2.331,-141.907,-139.221,5.31
1.243,-1.604,2.43,-155.64,-132.629,35.828
1.293,-1.572,2.473,-156.189,-128.662,73.853
1.312,-1.455,2.495,-151.978,-126.16,112.549
1.335,-1.251,2.504,-152.466,-119.019,143.25
1.345,-0.979,2.46,-158.813,-105.774,162.537
1.331,-0.694,2.344,-176.514,-90.637,162.964
1.307,-0.513,2.159,-209.106,-77.576,142.395
1.242,-0.545,1.927,-247.498,-69.885,116.577
1.163,-0.735,1.728,-268.555,-75.745,109.375
1.1,-0.905,1.637,-275.146,-92.407,126.526
1.047,-0.924,1.628,-278.809,-104.126,155.396
1.004,-0.828,1.628,-290.039,-109.131,176.758
0.953,-0.767,1.632,-306.458,-114.38,191.162
0.884,-0.793,1.691,-305.42,-118.835,216.431
0.799,-0.813,1.812,-285.767,-111.511,261.169
0.711,-0.681,1.957,-250.061,-89.417,323.608
0.645,-0.297,2.059,-197.51,-55.664,386.597
0.62,0.276,2.065,-164.612,-10.925,421.204
0.594,0.864,1.931,-145.813,31.25,410.339
0.541,1.303,1.672,-165.894,54.382,350.83
0.46,1.45,1.391,-234.863,56.458,262.756
0.365,1.279,1.124,-312.012,37.598,188.049
0.246,0.953,0.946,-391.541,0.122,158.752
0.09,0.734,0.985,-438.293,-35.278,178.772
-0.034,0.809,1.227,-440.308,-37.964,229.004
-0.05,1.185,1.511,-411.682,17.151,291.016
0.016,1.74,1.5,-357.727,138.611,354.553
0.217,2.415,0.92,-281.311,301.27,426.086
0.632,3.229,-0.089,-161.316,472.229,508.24
1.275,3.834,-1.143,138.794,636.23,549.561
2.004,3.961,-2.731,550.171,806.396,452.454
2.375,3.687,-3.914,715.698,847.595,237.366
1.889,2.539,-3.999,731.323,381.226,-29.541
1.095,1.32,-3.99,-147.278,-240.295,-124.939
0.777,1.175,-3.404,-182.373,-551.758,-107.422
0.805,1.437,-2.024,-200.439,-667.236,-153.931
0.923,1.458,-0.454,-226.685,-706.543,-260.559
0.899,1.019,1.007,-180.481,-644.47,-387.268
0.628,0.085,2.219,-102.356,-448.181,-451.416
0.208,-0.995,2.777,-1.343,-142.517,-386.841
-0.084,-1.621,2.293,129.822,152.283,-212.708
-0.104,-1.469,1.056,238.098,313.538,-30.029
-0.019,-0.854,-0.168,289.001,332.886,82.764
-0.007,-0.232,-0.938,300.781,261.963,125.183
-0.057,0.279,-1.265,309.692,148.987,123.108
-0.081,0.693,-1.25,300.476,31.311,88.013
-0.049,0.969,-0.976,275.208,-62.622,26.733
-0.02,1.028,-0.571,246.643,-121.887,-45.227
-0.004,0.867,-0.139,224.976,-152.283,-106.14
0.022,0.576,0.285,228.394,-155.701,-142.883
0.05,0.279,0.607,254.578,-133.728,-153.809
0.056,0.049,0.795,250.977,-93.567,-141.968
0.043,-0.064,0.842,268.25,-53.955,-116.516
0.067,-0.016,0.741,291.504,-41.687,-97.29
0.159,0.128,0.619,300.232,-66.711,-101.807
0.274,0.169,0.734,294.556,-112.244,-127.38
0.366,-0.003,1.013,314.27,-138.733,-153.137
0.4,-0.296,1.333,235.718,-122.925,-150.635
0.328,-0.51,1.613,232.605,-66.406,-107.178
0.211,-0.384,1.591,274.658,1.282,-41.199
0.201,0.178,1.299,325.012,15.991,0.549
0.378,0.907,1.087,326.233,-56.702,-35.278
0.762,1.352,1.305,267.517,-180.908,-164.734
1.292,1.067,2.036,145.264,-274.353,-350.525
1.698,-0.1,3.019,31.433,-256.958,-504.639
1.749,-1.675,3.696,12.695,-115.112,-517.7
1.494,-2.858,3.662,41.504,84.473,-353.394
1.174,-3.046,2.913,59.875,228.577,-99.609
0.976,-2.277,2.025,61.646,239.319,103.21
0.878,-1.184,1.572,104.797,148.132,172.302
0.853,-0.347,1.646,134.521,36.621,114.868
0.904,-0.063,2.047,141.479,-28.137,-26.672
0.965,-0.557,2.437,99.792,-19.165,-183.533
0.954,-1.698,2.561,42.908,42.114,-263.855
