aX,aY,aZ,gX,gY,gZ
-1.127,0.18,1.427,-8.118,-2.075,-25.879
-1.167,-0.012,1.431,-9.827,6.836,-36.499
-1.21,-0.235,1.382,-21.606,12.634,-31.677
-1.258,-0.359,1.322,-28.809,12.39,-18.555
-1.327,-0.371,1.243,-33.02,12.512,-7.69
-1.398,-0.281,1.124,-31.982,7.996,-0.427
-1.439,-0.144,1.017,-26.55,-3.906,-1.526
-1.45,-0.044,0.945,-20.02,-17.761,-7.69
-1.412,0.022,0.894,-15.869,-31.982,-11.475
-1.307,0.086,0.937,-11.047,-50.11,-14.587
-1.17,0.13,1.074,-14.709,-58.289,-14.282
-1.037,0.168,1.169,-23.499,-53.711,-10.315
-0.896,0.178,1.085,-35.522,-39.551,-9.827
-0.728,0.099,0.873,-51.208,-36.133,-8.24
-0.532,0.071,0.746,-72.327,-43.762,7.446
-0.347,0.24,0.605,-86.975,-33.508,16.113
-0.155,0.403,0.243,-72.632,-16.907,-5.798
0.112,0.277,-0.155,-29.053,-28.748,-41.199
0.471,-0.025,-0.419,-1.038,-42.48,-57.251
0.877,-0.255,-0.615,7.446,-60.12,-51.819
1.347,-0.332,-0.723,19.165,-89.478,-33.386
1.824,-0.274,-0.688,26.428,-119.751,-18.005
2.268,-0.098,-0.494,21.301,-146.362,3.296
2.701,0.173,-0.11,16.479,-163.818,20.325
3.05,0.386,0.342,13.672,-169.434,9.705
3.283,0.398,0.818,22.034,-176.392,-22.583
3.326,0.259,1.43,39.429,-177.307,-38.33
3.172,0.25,2.06,39.856,-152.527,-34.485
2.972,0.475,2.543,52.246,-112.122,-38.208
2.838,0.632,2.921,51.208,-66.101,-58.044
2.732,0.47,3.191,28.625,-4.15,-68.665
2.565,0.095,3.108,-0.61,86.182,-47.791
2.285,-0.227,2.454,-25.269,176.392,-5.92
1.915,-0.381,1.419,-38.025,225.403,31.494
1.484,-0.413,0.402,-37.415,219.604,56.335
1.142,-0.337,-0.298,-12.451,168.884,69.275
1.049,-0.213,-0.51,21.606,100.586,64.758
1.165,-0.121,-0.311,51.331,46.997,57.129
1.396,0.022,0.112,55.359,23.193,58.167
1.576,0.232,0.612,57.983,30.884,55.054
1.578,0.39,0.943,68.42,72.021,46.57
1.445,0.455,0.857,71.045,125.488,41.199
1.253,0.417,0.489,44.434,146.24,38.452
1.001,0.228,0.248,16.968,130.493,41.016
0.755,0.022,0.181,-6.042,111.206,62.073
0.568,-0.073,0.148,-16.663,85.266,80.75
0.433,-0.104,0.183,-8.545,58.838,94.727
0.365,-0.028,0.31,-1.648,34.241,108.521
0.298,0.145,0.559,-2.441,17.761,107.361
0.202,0.285,0.79,15.625,26.123,91.248
0.096,0.347,0.852,33.997,35.278,74.768
-0.028,0.376,0.857,38.452,31.433,65.186
-0.167,0.407,0.879,29.602,26.611,60.242
-0.301,0.448,0.88,22.827,22.827,56.519
-0.401,0.484,0.852,14.465,20.813,52.551
-0.455,0.485,0.824,4.639,12.878,43.396
-0.486,0.442,0.854,-5.615,-5.127,34.18
-0.505,0.426,0.948,-15.015,-20.508,27.649
-0.496,0.447,1.113,-22.217,-35.828,14.954
-0.491,0.402,1.35,-24.78,-46.936,-3.967
-0.508,0.27,1.55,-28.076,-38.696,-17.7
-0.539,0.137,1.624,-32.898,-22.4,-21.667
-0.592,0.074,1.605,-38.696,-13.794,-19.958
-0.66,0.091,1.573,-43.274,-9.46,-19.836
-0.726,0.094,1.556,-40.344,-2.319,-27.405
-0.808,-0.007,1.524,-33.02,8.179,-37.292
-0.921,-0.134,1.459,-36.743,19.165,-33.325
-1.012,-0.141,1.41,-51.025,28.32,-14.404
-1.097,0.005,1.426,-64.819,41.199,4.089
-1.249,0.257,1.444,-71.838,71.045,17.578
-1.507,0.591,1.255,-75.012,127.319,25.818
-1.794,0.906,0.704,-55.298,184.143,21.79
-1.987,1.012,-0.102,-8.728,199.524,-3.54
-2.005,0.855,-0.824,28.564,156.311,-42.847
-1.818,0.534,-1.161,41.321,59.631,-72.876
-1.42,0.246,-0.843,40.161,-62.988,-77.759
-0.877,0.073,0.078,51.758,-143.494,-81.97
-0.359,-0.123,1.047,64.087,-149.231,-88.806
0.027,-0.352,1.661,51.758,-105.042,-83.618
0.266,-0.493,1.868,45.105,-52.795,-62.866
0.37,-0.509,1.824,39.124,-16.296,-37.415
0.348,-0.447,1.72,33.569,4.639,-19.287
0.238,-0.358,1.576,24.475,25.696,-4.639
0.104,-0.273,1.368,18.799,39.307,5.371
-0.021,-0.189,1.173,16.479,41.443,10.925
-0.13,-0.129,0.999,24.231,34.79,12.451
-0.2,-0.057,0.908,19.47,21.667,12.817
-0.235,0.023,0.909,13.184,18.066,0.427
-0.268,0.006,0.878,23.376,12.024,-7.324
-0.289,-0.005,0.833,32.471,4.272,2.075
-0.293,0.101,0.829,35.645,-2.991,9.949
-0.286,0.207,0.87,40.466,-5.188,5.249
-0.28,0.224,0.867,37.476,0.549,-2.991
-0.275,0.186,0.794,28.87,0,-7.019
-0.248,0.168,0.753,22.278,-10.559,-5.92
-0.19,0.212,0.777,4.089,-20.508,-1.587
-0.123,0.268,0.881,-10.803,-31.616,-4.395
-0.074,0.231,1.06,-14.221,-31.982,-15.442
-0.06,0.101,1.155,-14.587,-13.306,-20.63
-0.07,-0.018,1.088,-13.794,2.075,-14.526
-0.085,-0.07,0.955,-6.226,2.747,-3.052
-0.087,-0.054,0.865,-2.014,-8.545,5.798
-0.081,0.006,0.883,-4.272,-20.02,8.911
-0.07,0.07,0.98,-4.639,-23.804,5.859
-0.056,0.11,1.079,-0.122,-16.907,-1.587
-0.047,0.079,1.079,8.85,-5.981,-5.737
-0.025,0.037,1.025,-6.104,-2.869,-1.343
-0.016,0.005,1.002,-15.747,-4.7,-1.404
-0.038,-0.041,1.009,-8.423,-10.803,9.338
-0.05,0.019,1.047,0.671,-9.949,20.691
-0.047,0.129,1.062,12.085,-5.31,14.954
-0.043,0.149,1.05,15.015,-1.709,4.211
-0.045,0.108,1.034,13.184,0.61,0.488
-0.051,0.092,1.021,13.428,-0.549,3.906
-0.05,0.127,1.013,12.268,-2.197,4.333
-0.044,0.136,1.015,8.728,-4.089,-0.549
-0.042,0.081,1.036,5.859,-4.883,-1.343
-0.042,0.04,1.059,-0.122,-2.808,3.662
-0.044,0.043,1.063,-3.784,1.77,7.507
-0.046,0.057,1.04,-5.676,4.395,9.46
2.334,-0.382,-1.967,179.382,-50.232,-39.246
3.083,-0.477,-1.539,215.515,-149.414,2.014
3.719,-0.121,-0.508,180.298,-249.939,63.782
3.981,0.734,0.892,93.994,-304.138,101.257
3.998,1.63,2.342,22.888,-285.889,80.505
3.874,2.032,3.451,-30.823,-202.087,5.31
3.541,1.829,3.909,-54.504,-71.777,-51.147
3.176,1.288,3.665,-64.758,65.186,-73.303
2.852,0.651,2.904,-83.801,161.987,-72.327
2.478,0.005,1.964,-116.15,212.097,-49.255
2.035,-0.499,1.073,-124.268,233.765,-12.39
1.572,-0.698,0.24,-110.352,231.506,28.32
1.172,-0.596,-0.428,-68.115,191.04,54.565
0.95,-0.309,-0.755,4.333,130.127,65.002
0.975,0.055,-0.725,63.965,68.42,62.073
1.1,0.395,-0.445,87.341,24.231,55.176
1.191,0.69,-0.182,77.087,9.155,54.382
1.373,0.88,0.014,56.335,-8.789,47.546
1.657,0.783,0.494,14.832,-33.936,25.879
1.777,0.402,1.231,-24.414,-18.982,18.494
1.657,0.108,1.553,-53.528,67.322,43.213
1.405,0.081,1.11,-48.584,146.729,61.707
1.083,0.131,0.372,-44.617,160.828,63.66
0.745,0.136,-0.071,-46.082,123.901,61.34
0.445,0.105,-0.051,-50.415,73.242,53.955
0.239,0.011,0.28,-27.527,42.969,46.936
0.13,-0.08,0.579,1.526,41.626,51.758
